timestamp,scenario,target_pids,process_count,cpu_percent,memory_mb,disk_read_bytes,disk_write_bytes,net_sent_bytes_delta_system_wide,net_recv_bytes_delta_system_wide,thread_count
2026-08-11T14:01:20.697255,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.91,11341488,2554295,404,5628,156
2026-08-11T14:01:21.749718,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.91,11341488,2554295,1855,600,156
2026-08-11T14:01:22.796517,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.91,11341488,2554295,5260,1792,156
2026-08-11T14:01:23.853923,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.91,11341488,2554295,163926,24461,156
2026-08-11T14:01:24.902899,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,468.0,11341488,2554295,1778,4933,156
2026-08-11T14:01:25.948903,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,467.91,11341488,2554295,2230,22436,156
2026-08-11T14:01:26.997098,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,468.02,11341488,2591546,8502,1404,156
2026-08-11T14:01:28.044734,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,468.02,11341488,2591546,15644,13640,156
2026-08-11T14:01:29.095443,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,468.28,11382480,2608750,55946,14558,156
2026-08-11T14:01:30.145426,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,468.09,11383456,2609726,1106,2616,156
2026-08-11T14:01:31.195106,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,468.01,11391960,2609726,4214,2912,156
2026-08-11T14:01:32.243412,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,468.01,11391960,2609726,420,5540,156
2026-08-11T14:01:33.292215,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.95,11391960,2609726,404,590,156
2026-08-11T14:01:34.342380,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.95,11391960,2609726,44260,2410,156
2026-08-11T14:01:35.390471,idle,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,467.95,11391960,2609726,606,4435,156
2026-08-11T14:01:55.264068,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,487.07,11925390,3124608,119726,10253,161
2026-08-11T14:01:56.311916,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,487.18,11925390,3162412,824,843,161
2026-08-11T14:01:57.362255,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,469.58,11925390,3162412,420,632,161
2026-08-11T14:01:58.408476,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,469.44,11925390,3162412,904,5156,161
2026-08-11T14:01:59.464390,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,469.44,11925390,3162412,8464,22556,161
2026-08-11T14:02:00.512585,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,469.54,11933894,3162412,11542,4862,161
2026-08-11T14:02:01.568357,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,469.61,11933894,3162412,1026,1270,161
2026-08-11T14:02:02.616153,active,29096;31732;33824;14136;10100;33816;34024;34164,8,5.9,471.21,11943322,3172515,2400,5666,161
2026-08-11T14:02:03.664510,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,471.18,11943322,3172515,31976,283192,160
2026-08-11T14:02:04.711451,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,471.19,11943322,3172515,5884,140278,160
2026-08-11T14:02:05.767391,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,471.22,11947418,3172515,606,3513,159
2026-08-11T14:02:06.818347,active,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,471.93,12592119,3180087,55692,4075,160
2026-08-11T14:02:07.868114,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,472.08,12626823,3214791,17020,29512,160
2026-08-11T14:02:08.914474,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,472.08,12626823,3214791,606,1252,160
2026-08-11T14:02:09.959881,active,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,472.08,12626823,3214791,702,5312,160
2026-08-11T14:02:11.008421,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,471.63,12626823,3214791,606,1704,160
2026-08-11T14:02:12.056867,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,472.82,12626823,3230275,1728,1490,160
2026-08-11T14:02:13.105841,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,472.82,12626823,3230275,1026,2433,160
2026-08-11T14:02:14.154749,active,29096;31732;33824;14136;10100;33816;34024;34164,8,1.5,472.86,12626823,3230275,202,4105,158
2026-08-11T14:02:15.202929,active,29096;31732;33824;14136;10100;33816;34024;34164,8,0.0,472.87,12626823,3230275,404,972,158
2026-08-11T14:04:09.967754,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,2.8,487.09,13014857,3220280,95550,4710,180
2026-08-11T14:04:10.521692,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.12,13014857,3220280,606,2446,178
2026-08-11T14:04:11.074584,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.11,13014857,3220280,404,1555,177
2026-08-11T14:04:11.626590,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.1,13014857,3220280,778,3243,177
2026-08-11T14:04:12.173504,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.05,13014857,3220280,2846,1556,175
2026-08-11T14:04:12.721698,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,2.9,486.65,13014857,3220280,840,4112,175
2026-08-11T14:04:13.268071,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.66,13014857,3220280,202,504,175
2026-08-11T14:04:13.817106,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.67,13014857,3220280,606,638,175
2026-08-11T14:04:14.364476,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.67,13014857,3220280,266,564,175
2026-08-11T14:04:14.913529,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.67,13014857,3220280,404,999,175
2026-08-11T14:04:15.460275,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.67,13014857,3220280,0,1986,175
2026-08-11T14:04:16.010506,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,14.3,486.82,13327348,3557840,202,3279,175
2026-08-11T14:04:16.563416,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.82,13327348,3557840,202,234,175
2026-08-11T14:04:17.153160,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,11.3,486.78,13327348,3564954,202,0,175
2026-08-11T14:04:17.720104,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.78,13327348,3564954,840,796,175
2026-08-11T14:04:18.270231,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,0,234,175
2026-08-11T14:04:18.820680,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,606,2603,175
2026-08-11T14:04:19.372105,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,202,2985,175
2026-08-11T14:04:19.921996,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,14800,2210,175
2026-08-11T14:04:20.474787,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,734,2788,175
2026-08-11T14:04:21.028186,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.77,13327348,3564954,840,932,175
2026-08-11T14:04:21.577447,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.98,13327348,3564954,44388,702,175
2026-08-11T14:04:22.124837,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.98,13327348,3564954,398,3464,175
2026-08-11T14:04:22.675555,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.99,13327348,3564954,584,2637,175
2026-08-11T14:04:23.223712,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.99,13327348,3564954,256,2517,175
2026-08-11T14:04:23.774516,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.02,13327348,3564954,670,676,175
2026-08-11T14:04:24.324490,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,14.2,487.05,13639934,3902609,3702,1408,175
2026-08-11T14:04:24.873759,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.04,13639934,3902609,1138,8778,175
2026-08-11T14:04:25.462346,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.04,13639934,3902609,244,294,175
2026-08-11T14:04:26.022849,screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.05,13639934,3902609,404,860,175
2026-08-11T14:04:55.493372,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.29,14674871,5061114,266,0,167
2026-08-11T14:04:56.041301,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,486.3,14674871,5061114,2204,1810,167
2026-08-11T14:04:56.593630,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,11.4,514.43,14674871,5061114,9878,9896,167
2026-08-11T14:04:57.148850,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,5.7,487.06,14987281,5398593,1616,25505,167
2026-08-11T14:04:57.700331,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.08,14987281,5398593,2256,3851,167
2026-08-11T14:04:58.257446,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.08,14987281,5398593,16166,5056,167
2026-08-11T14:04:58.811115,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.08,14987281,5398593,12108,34082,167
2026-08-11T14:04:59.362919,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.08,14987281,5398593,1656,4704,167
2026-08-11T14:04:59.915139,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.19,14987477,5398614,5450,6080,167
2026-08-11T14:05:00.466008,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.19,14987477,5398614,20840,41560,167
2026-08-11T14:05:01.013967,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.18,14987477,5434708,5358,21371,167
2026-08-11T14:05:01.571859,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,5.6,487.18,14987477,5434708,0,3245,167
2026-08-11T14:05:02.118318,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.18,14987477,5434708,600,700,167
2026-08-11T14:05:02.679405,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,2.9,487.18,14987477,5434708,0,996,167
2026-08-11T14:05:03.275174,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.18,14987477,5434708,638,1030,167
2026-08-11T14:05:03.838221,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,2.6,487.52,15019329,5442456,4124,468,167
2026-08-11T14:05:04.390296,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,2.8,487.5,15029397,5452832,66814,3794,167
